gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000230424,EMC1-AS1,IV: Basal,0.0348582742809503,0.0526515701674401,0.0711233847436431,0.17284353444795048
ENSG00000127463,EMC1,I: Ubiquitous,0.078131513130471,0.0760092376722942,0.0711233847436431,0.17284353444795048
ENSG00000053372,MRTO4,IV: Basal,0.0597123801583993,0.0666483557740281,0.0711233847436431,0.17284353444795048
ENSG00000162482,AKR7A3,I: Ubiquitous,0.0804501875781575,0.0927008675953017,0.0711233847436431,0.17284353444795048
ENSG00000053371,AKR7A2,I: Ubiquitous,0.2373905794080867,0.0734066186389107,0.0711233847436431,0.17284353444795048
ENSG00000040487,SLC66A1,IV: Basal,0.0326698624426844,0.0811536609470064,0.0711233847436431,0.17284353444795048
ENSG00000077549,CAPZB,I: Ubiquitous,0.3322217590662776,0.0446918680092666,0.0711233847436431,0.17284353444795048
ENSG00000173436,MICOS10,I: Ubiquitous,0.6581909128803668,0.1655469571546425,0.0711233847436431,0.17284353444795048
ENSG00000158747,NBL1,IV: Basal,0.0211807002917882,0.141321054059451,0.0711233847436431,0.17284353444795048
ENSG00000162542,TMCO4,I: Ubiquitous,0.092225927469779,0.0647258848359293,0.0711233847436431,0.17284353444795048
ENSG00000169914,OTUD3,IV: Basal,0.0468684868695289,0.0781053621981871,0.0711233847436431,0.17284353444795048
ENSG00000162543,UBXN10,IV: Basal,0.018054397665694,0.0949561699671163,0.0711233847436431,0.17284353444795048
ENSG00000162545,CAMK2N1,I: Ubiquitous,0.3110931638182576,0.1013632710837664,0.0711233847436431,0.17284353444795048
ENSG00000090432,MUL1,I: Ubiquitous,0.1084827011254689,0.0902760950109077,0.0711233847436431,0.17284353444795048
ENSG00000183114,FAM43B,IV: Basal,0.011020216756982,0.1143738944767385,0.0711233847436431,0.17284353444795048
ENSG00000158825,CDA,IV: Basal,0.0452271779908295,0.171345361435508,0.0711233847436431,0.17284353444795048
ENSG00000158828,PINK1,I: Ubiquitous,0.2331440183409754,0.0596397832965487,0.0711233847436431,0.17284353444795048
ENSG00000117242,PINK1-AS,IV: Basal,0.0111504793664026,0.0834565194892208,0.0711233847436431,0.17284353444795048
ENSG00000244038,DDOST,I: Ubiquitous,0.1835139641517298,0.053842153493619,0.0711233847436431,0.17284353444795048
ENSG00000127483,HP1BP3,I: Ubiquitous,0.4119424760316799,0.0635652940955003,0.0711233847436431,0.17284353444795048
ENSG00000075151,EIF4G3,I: Ubiquitous,0.2775375156315131,0.1191359107685174,0.0711233847436431,0.17284353444795048
ENSG00000117298,ECE1,I: Ubiquitous,0.123462901208837,0.0557780852354776,0.0711233847436431,0.17284353444795048
ENSG00000142794,NBPF3,IV: Basal,0.0286056690287619,0.0755477255740229,0.0711233847436431,0.17284353444795048
ENSG00000162551,ALPL,IV: Basal,0.0141465193830762,0.1159703755111214,0.0711233847436431,0.17284353444795048
ENSG00000076864,RAP1GAP,I: Ubiquitous,0.4364839516465194,0.1023025175547306,0.0711233847436431,0.17284353444795048
ENSG00000090686,USP48,I: Ubiquitous,0.1779126719466444,0.0801586277904736,0.0711233847436431,0.17284353444795048
ENSG00000142798,HSPG2,I: Ubiquitous,0.1152563568153397,0.093865505877488,0.0711233847436431,0.17284353444795048
ENSG00000218510,LINC00339,IV: Basal,0.0446019174656106,0.0849309155568578,0.0711233847436431,0.17284353444795048
ENSG00000070831,CDC42,I: Ubiquitous,0.4580033347228012,0.0925363107630093,0.0711233847436431,0.17284353444795048
ENSG00000184677,ZBTB40,IV: Basal,0.0585139641517298,0.0619354986365651,0.0711233847436431,0.17284353444795048
ENSG00000173372,C1QA,IV: Basal,0.0062265527303042,0.08111389340206,0.0711233847436431,0.17284353444795048
ENSG00000133216,EPHB2,IV: Basal,0.0460348061692371,0.1005365077312736,0.0711233847436431,0.17284353444795048
ENSG00000004487,KDM1A,I: Ubiquitous,0.1405012505210504,0.056246936460109,0.0711233847436431,0.17284353444795048
ENSG00000240553,ENSG00000240553,IV: Basal,0.0103428511879949,0.0993173553235299,0.0711233847436431,0.17284353444795048
ENSG00000169641,LUZP1,I: Ubiquitous,0.1046529804085035,0.0628076275448582,0.0711233847436431,0.17284353444795048
ENSG00000261326,LINC01355,IV: Basal,0.0371248436848686,0.0964250073451538,0.0711233847436431,0.17284353444795048
ENSG00000125944,HNRNPR,I: Ubiquitous,0.3117705293872447,0.0458459579034577,0.0711233847436431,0.17284353444795048
ENSG00000125945,ZNF436,IV: Basal,0.0210504376823676,0.0697010461220379,0.0711233847436431,0.17284353444795048
ENSG00000249087,ZNF436-AS1,IV: Basal,0.0210504376823676,0.0939683950509834,0.0711233847436431,0.17284353444795048
ENSG00000204219,TCEA3,I: Ubiquitous,0.2850406419341392,0.0795530341662848,0.0711233847436431,0.17284353444795048
ENSG00000088280,ASAP3,IV: Basal,0.0628386827844935,0.0671244319763912,0.0711233847436431,0.17284353444795048
ENSG00000117318,ID3,IV: Basal,0.0537463526469362,0.0840509093110231,0.0711233847436431,0.17284353444795048
ENSG00000142676,RPL11,II: Gradient,0.8590298040850355,0.208513001962834,0.0711233847436431,0.17284353444795048
ENSG00000236810,ELOA-AS1,IV: Basal,0.0509847853272196,0.0821659075649088,0.0711233847436431,0.17284353444795048
ENSG00000011007,ELOA,I: Ubiquitous,0.0743799499791579,0.0859756828966516,0.0711233847436431,0.17284353444795048
