gene,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
MTFR1L,I: Ubiquitous,0.1479280743592818,0.0872956634858845,0.0597574352620383,0.2120822446921291
PAQR7,I: Ubiquitous,0.1200300208280597,0.1203022352770252,0.0597574352620383,0.2120822446921291
STMN1,I: Ubiquitous,0.2727632040572527,0.1358736199412281,0.0597574352620383,0.2120822446921291
PAFAH2,IV: Basal,0.0485040656905456,0.092724099049695,0.0597574352620383,0.2120822446921291
SLC30A2,IV: Basal,0.0231373541702749,0.2030611115588807,0.0597574352620383,0.2120822446921291
TRIM63,IV: Basal,0.0054579286516828,0.1564912788152328,0.0597574352620383,0.2120822446921291
PDIK1L,IV: Basal,0.0370375304760255,0.0728214200959983,0.0597574352620383,0.2120822446921291
FAM110D,IV: Basal,0.0129409309121269,0.1419410774302467,0.0597574352620383,0.2120822446921291
ZNF593,I: Ubiquitous,0.2144934873455104,0.0678607961059234,0.0597574352620383,0.2120822446921291
CNKSR1,IV: Basal,0.0335913525804145,0.1704637876874603,0.0597574352620383,0.2120822446921291
CEP85,IV: Basal,0.0192248764305413,0.1109544993570948,0.0597574352620383,0.2120822446921291
SH3BGRL3,II: Gradient,0.4601224814257229,0.2696081814796363,0.0597574352620383,0.2120822446921291
