gene,coverage,A1_abs,A2_abs
Chp1,0.11203319502074689,0.11246093257108852,0.08499281479520435
Chrac1,0.11981327800829876,0.11971500042923357,0.07603383986528589
Cirbp,0.20383817427385892,0.20383482464695707,0.03612926908582637
Cisd1,0.11047717842323651,0.11006429947597102,0.22846740135892304
Ckb,0.13692946058091288,0.1361102405806605,0.16986612846119248
Ckm,0.22614107883817428,0.2256085468147623,0.32243270638681365
Cldn5,0.15197095435684646,0.15313679252766507,0.46805419255879344
Clic1,0.6286307053941909,0.6302481972425583,0.06951107935645845
Clk1,0.258298755186722,0.2592742644317982,0.13274339397232593
Clta,0.30031120331950206,0.30207028376895634,0.12047927701101138
Clu,0.18049792531120332,0.17960603362319866,0.16523495602918484
Cmtm3,0.20487551867219916,0.20540562707011792,0.13477583627235779
Cmtm7,0.13226141078838174,0.13184269725962158,0.07529439645839239
Cnbp,0.3480290456431535,0.34812487671982034,0.012234096630336602
Cnih1,0.14367219917012447,0.1437758554719397,0.05980045873804378
Cnih4,0.13070539419087138,0.13084701615605865,0.030406032257403112
Cnn2,0.22302904564315354,0.22235586829041987,0.19898006066687193
Cnn3,0.18516597510373445,0.18491084181123366,0.13412225040215214
Cnppd1,0.10269709543568464,0.10288251726610044,0.10139344346491248
Cnpy2,0.18983402489626555,0.18967414521929032,0.04461917051077823
Coa3,0.1146265560165975,0.11503807184467067,0.11788715960421794
Col1a1,0.546161825726141,0.5395792186680677,0.2654112891982391
Col1a2,0.5622406639004149,0.5555443327436153,0.2609412848822364
Col3a1,0.5715767634854771,0.5649876363789522,0.24958822158763633
Col4a1,0.32468879668049794,0.3247940256320872,0.07235176384080176
Col4a2,0.3049792531120332,0.30494189469120186,0.08560786341776497
Col5a1,0.12551867219917012,0.12372773614368973,0.308193600429061
Col5a2,0.21265560165975103,0.21048210521437455,0.26008537966687745
Col6a1,0.23340248962655602,0.22940712130173674,0.37304336929839094
Col6a2,0.22199170124481327,0.21961865568679656,0.23018616460106917
Commd3,0.17219917012448133,0.17220304821937268,0.028429029931699448
